Accel_X,Accel_Y,Accel_Z
-0.9873046875,0.021240234375,-0.094482421875
-0.984619140625,0.012451171875,-0.088623046875
-0.998291015625,0.003662109375,-0.0888671875
-1.006103515625,0.00927734375,-0.08349609375
-0.99072265625,0.015380859375,-0.085693359375
-0.98583984375,0.008056640625,-0.093994140625
-0.98876953125,0.01171875,-0.1044921875
-0.975830078125,0.022216796875,-0.10302734375
-0.983642578125,0.0087890625,-0.09326171875
-0.993408203125,0.00146484375,-0.091552734375
-0.98828125,0.01513671875,-0.08349609375
-0.991943359375,0.014404296875,-0.09228515625
-0.99462890625,0.010009765625,-0.100830078125
-0.990966796875,0.01806640625,-0.093994140625
-0.9892578125,0.013671875,-0.09375
-0.99462890625,0.003173828125,-0.092041015625
-0.986083984375,0.00537109375,-0.0947265625
-0.979736328125,0.013671875,-0.10107421875
-0.992431640625,0.0146484375,-0.0966796875
-0.992431640625,0.009033203125,-0.089599609375
-0.99462890625,0.010498046875,-0.09228515625
-0.998779296875,0.012939453125,-0.1005859375
-0.990478515625,0.014892578125,-0.09716796875
-0.986083984375,0.01171875,-0.096435546875
-0.9853515625,0.005615234375,-0.10107421875
-0.988525390625,0.009765625,-0.09521484375
-0.988525390625,0.01416015625,-0.0927734375
-0.9912109375,0.010498046875,-0.09326171875
-0.9951171875,0.008544921875,-0.08837890625
-0.991455078125,0.0107421875,-0.082275390625
-0.994873046875,0.008544921875,-0.080078125
-0.988525390625,0.0078125,-0.08349609375
-0.982421875,0.01171875,-0.088134765625
-0.98876953125,0.013916015625,-0.08984375
-0.987548828125,0.010986328125,-0.08984375
-0.98291015625,0.009765625,-0.083984375
-0.985107421875,0.013671875,-0.08642578125
-0.993896484375,0.013916015625,-0.095947265625
-0.99267578125,0.00927734375,-0.096923828125
-0.991455078125,0.0087890625,-0.09423828125
-0.992919921875,0.013427734375,-0.092529296875
-0.988037109375,0.01318359375,-0.09228515625
-0.98486328125,0.00732421875,-0.09130859375
-0.9814453125,0.0068359375,-0.088134765625
-0.984130859375,0.009521484375,-0.085693359375
-0.993408203125,0.01171875,-0.08544921875
-0.996826171875,0.011962890625,-0.08447265625
-0.992431640625,0.011962890625,-0.087890625
-0.988037109375,0.014404296875,-0.093994140625
-0.989990234375,0.015625,-0.0908203125
-0.986083984375,0.01416015625,-0.090576171875
-0.98193359375,0.00927734375,-0.09765625
-0.984130859375,0.0078125,-0.096923828125
-0.985107421875,0.00830078125,-0.095947265625
-0.988037109375,0.00830078125,-0.093017578125
-0.990966796875,0.013671875,-0.08984375
-0.992919921875,0.013671875,-0.091796875
-0.998291015625,0.009521484375,-0.09326171875
-0.995361328125,0.008544921875,-0.093017578125
