Variance_X,Variance_Y,Variance_Z,RMS_X,RMS_Y,RMS_Z,PtP_X,PtP_Y,PtP_Z,Dominant_X,Dominant_Y,Dominant_Z,Spec_Crest_X,Spec_Crest_Y,Spec_Crest_Z,Label
1.6321369912475348e-05,6.905636837473139e-06,1.4011686289450154e-05,0.004039971523720848,0.0026278578419452487,0.003743218707135632,0.017578125,0.013427734375,0.02197265625,13.0,21.0,6.0,6.448058822630394,2.6390932992390312,3.9722841679894523,Transient_Shock
1.1590716894716024e-05,6.457543349824846e-06,3.438166095293127e-05,0.0034045141936429085,0.002541169681431141,0.005863587720238461,0.02099609375,0.014404296875,0.0322265625,14.0,4.0,2.0,4.496015465646366,2.896599863279581,6.822658286264327,Transient_Shock
1.3224256690591574e-05,8.761518984101713e-06,4.132065441808663e-05,0.0036365171098994673,0.0029599863148504105,0.006428114375000388,0.0234375,0.0166015625,0.029541015625,3.0,40.0,3.0,4.1321457714974175,3.6203996492668775,9.505250268335784,Transient_Shock
2.6660443836590275e-05,1.8041315342998132e-05,2.0940522517776117e-05,0.005163375236857212,0.004247506956203619,0.004576081568085966,0.0263671875,0.021240234375,0.023681640625,15.0,38.0,3.0,4.697317490714494,4.9915338512753715,5.257256140986524,Transient_Shock
2.737250179052353e-05,2.5256536900997162e-05,4.222779534757137e-05,0.005231873640534864,0.005025588214427955,0.00649829172533608,0.02099609375,0.024169921875,0.0361328125,14.0,37.0,3.0,7.10517902821337,4.351416753937644,9.43892525427145,Transient_Shock
1.666322350502014e-05,3.767539965338074e-05,0.00013058248077868484,0.004082061183399894,0.006138028971370267,0.011427269174159014,0.021728515625,0.026611328125,0.049072265625,3.0,40.0,3.0,4.999003967826995,4.55999814165419,14.034188743515465,Transient_Shock
1.3736509572481737e-05,1.9792638340732083e-05,6.211045183590613e-05,0.003706279748276125,0.004448891810409878,0.007881018451691769,0.020263671875,0.023681640625,0.03857421875,42.0,33.0,4.0,4.09589260793306,3.705043513332697,9.588999967319122,Transient_Shock
1.8221078789792955e-05,3.439077045186423e-05,6.970142931095324e-05,0.004268615558912861,0.005864364454215327,0.008348738186753328,0.021728515625,0.031982421875,0.034912109375,14.0,37.0,5.0,3.001434773589224,6.043313562019745,6.31169164350086,Transient_Shock
3.274570553912781e-05,5.688404417014681e-05,9.116038199863397e-05,0.005722386350040323,0.007542151163305255,0.009547794614393104,0.02734375,0.0322265625,0.04736328125,12.0,40.0,5.0,3.596717582855908,7.5861768341001135,8.479198188235182,Transient_Shock
3.20853287121281e-05,3.3643849747022614e-05,0.00010330162695026956,0.005664391292286233,0.005800331865248972,0.010163740795114246,0.027099609375,0.028564453125,0.05419921875,14.0,44.0,5.0,5.608626916154642,5.645925589334077,6.027142088256586,Transient_Shock
1.7432263121008873e-05,2.7179219614481553e-05,0.00011631421511992812,0.0041751961775476935,0.005213369314990216,0.010784906820178287,0.02685546875,0.025146484375,0.04833984375,14.0,47.0,6.0,5.411008577609951,3.7361819273757773,9.484014730253678,Transient_Shock
2.0982683054171503e-05,2.911045157816261e-05,0.00011810153591795824,0.00458068587158861,0.005395410232610919,0.01086745305570529,0.02392578125,0.02880859375,0.0546875,6.0,25.0,6.0,4.559642005620968,4.0731344074823195,7.883514498367232,Transient_Shock
3.87849286198616e-05,3.4295953810214996e-05,0.00012901885202154517,0.006227754701323873,0.005856274738279873,0.011358646575254693,0.02978515625,0.039306640625,0.05712890625,20.0,39.0,6.0,3.9280527073456546,3.56564907128994,5.170126143414728,Transient_Shock
3.276657298556529e-05,3.9110072975745425e-05,0.00016305594181176275,0.00572420937646111,0.006253804680012434,0.012769335997292998,0.028076171875,0.028564453125,0.0625,14.0,27.0,7.0,5.875275882933293,4.444551925565567,7.413945530919601,Transient_Shock
2.376477641519159e-05,3.7689136661356315e-05,0.00014863779870211147,0.004874912964883742,0.006139147877462826,0.01219171024516706,0.0224609375,0.02783203125,0.0546875,42.0,42.0,7.0,3.854253163922425,5.9172991338061145,10.088766407548226,Transient_Shock
1.799544770619832e-05,4.217294917907566e-05,0.0001756914280122146,0.004242104160225008,0.006494070309064698,0.013254864315118983,0.0234375,0.033447265625,0.06005859375,7.0,43.0,7.0,4.940980973565225,5.6200963750408865,9.36052048195594,Transient_Shock
3.413148442632519e-05,5.00363385071978e-05,0.00019490564227453433,0.005842215712067228,0.0070736368656581314,0.01396086108642781,0.02783203125,0.0390625,0.062744140625,21.0,44.0,7.0,2.933227147250168,4.57148614928455,7.980942385764422,Transient_Shock
3.075407585129142e-05,6.84430960973259e-05,0.00019901300765923224,0.00554563574816192,0.008273034273912197,0.014107197016389622,0.025146484375,0.03564453125,0.066650390625,14.0,30.0,8.0,4.524416404125516,6.004151979874796,6.705758845306741,Transient_Shock
2.4340723030036315e-05,5.568143387790769e-05,0.0001949615398189053,0.0049336318295993995,0.007461999321757386,0.01396286288047352,0.02294921875,0.039306640625,0.06201171875,8.0,31.0,8.0,4.085501863377715,7.593277718281782,8.57226088946058,Transient_Shock
2.2692398488288745e-05,6.223722812137567e-05,0.00029636354884132743,0.004763653900976513,0.007889057492589065,0.017215212715541085,0.025146484375,0.036865234375,0.076904296875,8.0,31.0,8.0,6.869899946535254,7.061257437588507,9.560654897482744,Transient_Shock
5.079753464087844e-05,7.746927440166473e-05,0.00030642945421277545,0.007127238921270876,0.008801663161111355,0.017505126512332766,0.041015625,0.043701171875,0.08203125,8.0,32.0,8.0,4.952359483047935,6.377524341123897,9.908176303758601,Transient_Shock
4.7653473302489147e-05,7.44891440263018e-05,0.0002899672253988683,0.006903149520507951,0.008630709358233644,0.01702842404331265,0.0380859375,0.038818359375,0.07421875,8.0,32.0,8.0,9.16103052754722,10.599791957980647,12.599365022230417,Transient_Shock
3.3784101105993614e-05,7.798276783432811e-05,0.00030188210075721145,0.0058124092342155,0.00883078523316744,0.017374754696317628,0.02880859375,0.039306640625,0.086181640625,8.0,32.0,8.0,7.620009443419994,7.338211868816801,12.96508365245569,Transient_Shock
2.3731961846351624e-05,0.00010416417717351578,0.00034331482311245054,0.004871546145357922,0.010206085301109127,0.018528756653171594,0.02294921875,0.044189453125,0.084228515625,8.0,32.0,8.0,4.6068157649642245,7.393190057993892,9.621396568884695,Transient_Shock
4.258396438672207e-05,9.536271682009101e-05,0.000312471322104102,0.006525639002176114,0.009765383598204988,0.01767685837766717,0.0341796875,0.04150390625,0.076904296875,8.0,33.0,8.0,6.05725606235734,8.566099044295768,9.121150459749959,Transient_Shock
4.071075454703532e-05,9.936022979672998e-05,0.0003750843461602926,0.006380497985818609,0.009967960162276432,0.019367094417085198,0.031005859375,0.039794921875,0.08349609375,8.0,33.0,8.0,6.316908845654885,11.418894771714491,9.845407770172963,Transient_Shock
3.534565621521324e-05,0.00012324837734922767,0.00045644116107723676,0.005945221292366941,0.011101728574831384,0.021364483637037354,0.02880859375,0.053466796875,0.10546875,8.0,33.0,8.0,5.167438077537241,8.65889600155313,7.74975238018898,Transient_Shock
6.514082997455262e-05,0.00013252815915620886,0.00044665479799732566,0.008070986926922421,0.01151208752382507,0.021134209187886017,0.05908203125,0.050537109375,0.106689453125,8.0,33.0,8.0,4.065854199802521,6.236614859391213,6.888788553235067,Transient_Shock
3.772694253711961e-05,0.00016839956151670776,0.0005568616179516539,0.006142226187394894,0.012976885663236298,0.023597915542514638,0.031494140625,0.062255859375,0.111328125,8.0,34.0,8.0,4.3282410391418065,8.024028999552048,6.354858492633928,Transient_Shock
5.063321441411972e-05,0.00015123408229555935,0.00042554154060781,0.007115701962148198,0.012297726712509078,0.020628658235760513,0.033447265625,0.055908203125,0.091796875,34.0,34.0,8.0,3.1488255717071016,11.772026219591814,6.233108645282154,Transient_Shock
6.17696059634909e-05,0.00014273518172558397,0.00045253443749970756,0.007859364221328014,0.011947183003770553,0.021272856825064836,0.046142578125,0.04638671875,0.088134765625,14.0,34.0,8.0,4.361088928234635,12.691145498828547,5.825961829788247,Transient_Shock
