Variance_X,Variance_Y,Variance_Z,RMS_X,RMS_Y,RMS_Z,PtP_X,Ptp_Y,Ptp_Z,FFT_X,FFT_Y,FFT_Z,Label
2.467025478836149e-05,1.038092523231171e-05,1.6976016922853887e-05,0.004966916023888615,0.0032219443248311585,0.004120196223828895,0.03076171875,0.019287109375,0.021728515625,0.0015788972377777097,0.0006643813103437424,0.0010864688083529477,Imbalance
4.131922833039425e-05,6.782585842302069e-06,1.411604171153158e-05,0.006428003448225137,0.002604339809299483,0.0037571321126001916,0.029052734375,0.012451171875,0.017578125,0.00264446996152401,0.0004340857267379759,0.000903560779988766,Imbalance
4.801909381058067e-05,1.2087388313375413e-05,3.051384919672273e-05,0.006929581070351993,0.0034766921510791565,0.005523934213649067,0.03955078125,0.023681640625,0.02587890625,0.0030733346939086923,0.000773616135120392,0.0019529145210981358,Imbalance
2.5064204237423837e-05,6.841469075880013e-05,0.00015914101095404476,0.005006416306843033,0.008271317353287814,0.012615110421793571,0.02392578125,0.069091796875,0.08935546875,0.0016048923134803774,0.004378592595458028,0.010185263119637964,Imbalance
9.731787940836512e-05,6.481766467913985e-05,0.001071962935384363,0.009864982483936052,0.008050941850438361,0.03274084506215994,0.065673828125,0.086181640625,0.27294921875,0.006228428333997727,0.004148364067077637,0.06860664207488298,Imbalance
0.0003850506618618965,7.19395320629701e-05,0.005422262474894524,0.019622707811662907,0.00848171751846111,0.07363601343700325,0.07958984375,0.0693359375,0.29296875,0.024647676385939107,0.004604153335094453,0.3470749258995054,Imbalance
0.0017563509136380162,0.00011151953003718518,0.024638325907289982,0.041908840518893105,0.010560280774543126,0.1569660023931615,0.145263671875,0.04248046875,0.539306640625,0.11240847222507,0.007137255743145945,1.5768676437437532,Imbalance
0.002264896349515766,0.00010562670286162756,0.029349771906709066,0.0475909271764668,0.010277485240156153,0.1713177512889691,0.16650390625,0.046142578125,0.560302734375,0.1449541496112943,0.006760232150554663,1.8783963657915599,Imbalance
0.0012613433500519022,6.849548299214803e-05,0.015441392020875355,0.03551539595797719,0.00827619979170078,0.12426339775201448,0.1142578125,0.03271484375,0.380859375,0.08073318656533958,0.004383739084005359,0.988328769803047,Imbalance
0.0012607618955371436,7.58665228204336e-05,0.015228847765683895,0.0355072090643174,0.008710139081578066,0.12340521774092007,0.112548828125,0.03515625,0.358642578125,0.08068882860243316,0.0048555601388216,0.9746484477072952,Imbalance
0.0013713891239603981,7.421172631438822e-05,0.015584019463858567,0.03703227138537951,0.008614622819043688,0.1248359702323756,0.119140625,0.037109375,0.364501953125,0.08777236938476567,0.004749663174152376,0.9974148720502852,Imbalance
